subject,day 1 distance,day 2 distance,day 1 rt,day 2 rt,dist difference,rt difference,condition,
4,560.050575,508.3317263,3.258245792,3.875619208,51.71884875,-0.617373417,Video,
7,341.3505398,450.2490838,2.381887,3.427324958,-108.898544,-1.045437958,Video,
8,526.2345821,419.8665708,3.108953875,4.090885833,106.3680113,-0.981931958,Video,
9,504.5064333,459.6100242,4.065190542,4.472819542,44.89640917,-0.407629,Video,
14,346.7000254,450.6292771,3.578763875,4.184628958,-103.9292517,-0.605865083,Video,
15,471.0922154,460.2116408,3.342622917,3.969376708,10.88057458,-0.626753792,Video,
16,480.2020563,533.7541038,2.215534125,2.926299125,-53.5520475,-0.710765,Video,
18,518.7315667,464.868375,4.028692042,4.183943042,53.86319167,-0.155251,Video,
19,497.2250708,449.7050155,4.276981458,4.985316333,47.52005538,-0.708334875,Video,
21,462.9373288,414.3231037,3.780469625,3.972105875,48.61422504,-0.19163625,Video,
22,516.5641296,473.7961167,2.9043725,2.461732708,42.76801292,0.442639792,Video,
24,680.5057146,666.5146,3.809231167,3.644345375,13.99111458,0.164885792,Video,
25,547.52293,508.9605,4.025599708,4.114492333,38.56243,-0.088892625,Video,
26,451.5980367,427.5058304,2.243988875,2.050609125,24.09220625,0.19337975,Video,
27,502.2565792,467.6282833,2.529446917,3.146432958,34.62829583,-0.616986042,Video,
28,578.9729833,515.10956,2.854779125,2.953772167,63.86342333,-0.098993042,Video,
29,612.4442167,590.1329829,3.999209042,3.68078525,22.31123375,0.318423792,Video,
32,572.607085,485.3035917,4.787801458,4.959264917,87.30349333,-0.171463458,Video,
2,500.5305375,502.4385533,4.917627042,6.645719292,-1.90801575,-1.72809225,VR,
3,458.0719242,410.8546317,2.648142958,3.206864417,47.2172925,-0.558721458,VR,
5,420.622325,488.8566996,2.561729417,3.215901958,-68.23437458,-0.654172542,VR,
6,502.1043375,466.8205138,6.151950167,8.449889042,35.28382375,-2.297938875,VR,
10,473.1597083,440.3029571,3.612424708,4.685357625,32.85675125,-1.072932917,VR,
12,489.5287558,515.0109621,4.95921575,6.233561375,-25.48220625,-1.274345625,VR,
13,541.7019442,438.1464075,4.0049875,4.10171875,103.5555367,-0.09673125,VR,
17,547.2731438,487.9269067,2.442969417,3.495739417,59.34623708,-1.05277,VR,
20,445.8447133,488.8555292,3.628376875,5.683223542,-43.01081583,-2.054846667,VR,
34,534.1217271,507.9416167,2.091585375,2.192979458,26.18011042,-0.101394083,VR,
35,406.3648708,485.7431433,2.600272625,3.412194792,-79.3782725,-0.811922167,VR,
36,484.9521063,543.0229146,3.253053208,2.632561708,-58.07080833,0.6204915,VR,
37,451.7304779,537.0291717,2.43465725,3.070772125,-85.29869375,-0.636114875,VR,
38,543.5299838,440.8513958,4.066609708,4.554086875,102.6785879,-0.487477167,VR,
39,348.3889513,456.3907208,2.9245945,2.83187075,-108.0017696,0.09272375,VR,
=======,,,,,,,,
0,VRTag_003,458.0719242,410.8546317,2.648142958,3.206864417,-47.2172925,0.558721458,TRUE
0,VRTag_017,547.2731438,487.9269067,2.442969417,3.495739417,-59.34623708,1.05277,TRUE
0,VRTag_036,484.9521063,543.0229146,3.253053208,2.632561708,58.07080833,-0.6204915,TRUE
0,VRTag_022,516.5641296,473.7961167,2.9043725,2.461732708,-42.76801292,-0.442639792,TRUE
0,VRTag_041,500.8190375,466.6966542,5.025923917,5.950959583,-34.12238333,0.925035667,TRUE
0,VRTag_024,680.5057146,666.5146,3.809231167,3.644345375,-13.99111458,-0.164885792,TRUE
0,VRTag_005,420.622325,488.8566996,2.561729417,3.215901958,68.23437458,0.654172542,TRUE
0,VRTag_029,612.4442167,590.1329829,3.999209042,3.68078525,-22.31123375,-0.318423792,TRUE
0,VRTag_008,526.2345821,419.8665708,3.108953875,4.090885833,-106.3680113,0.981931958,TRUE
0,VRTag_016,480.2020563,533.7541038,2.215534125,2.926299125,53.5520475,0.710765,TRUE
0,VRTag_002,500.5305375,502.4385533,4.917627042,6.645719292,1.90801575,1.72809225,TRUE
0,VRTag_037,451.7304779,537.0291717,2.43465725,3.070772125,85.29869375,0.636114875,TRUE
0,VRTag_040,547.3887542,557.1241104,4.195317417,10.64989692,9.73535625,6.4545795,TRUE
0,VRTag_025,547.52293,508.9605,4.025599708,4.114492333,-38.56243,0.088892625,TRUE
0,VRTag_031,499.7208208,594.10305,3.506508292,4.518972333,94.38222917,1.012464042,TRUE
0,VRTag_010,473.1597083,440.3029571,3.612424708,4.685357625,-32.85675125,1.072932917,TRUE
0,VRTag_004,560.050575,508.3317263,3.258245792,3.875619208,-51.71884875,0.617373417,TRUE
0,VRTag_028,578.9729833,515.10956,2.854779125,2.953772167,-63.86342333,0.098993042,TRUE
0,VRTag_009,504.5064333,459.6100242,4.065190542,4.472819542,-44.89640917,0.407629,TRUE
0,VRTag_034,534.1217271,507.9416167,2.091585375,2.192979458,-26.18011042,0.101394083,TRUE
0,VRTag_020,445.8447133,488.8555292,3.628376875,5.683223542,43.01081583,2.054846667,TRUE
0,VRTag_015,471.0922154,460.2116408,3.342622917,3.969376708,-10.88057458,0.626753792,TRUE
0,VRTag_043,574.8094917,518.1902208,3.4967825,4.911009458,-56.61927083,1.414226958,TRUE
0,VRTag_039,348.3889513,456.3907208,2.9245945,2.83187075,108.0017696,-0.09272375,TRUE
0,VRTag_018,518.7315667,464.868375,4.028692042,4.183943042,-53.86319167,0.155251,TRUE
0,VRTag_007,341.3505398,450.2490838,2.381887,3.427324958,108.898544,1.045437958,TRUE
0,VRTag_013,541.7019442,438.1464075,4.0049875,4.10171875,-103.5555367,0.09673125,TRUE
0,VRTag_032,572.607085,485.3035917,4.787801458,4.959264917,-87.30349333,0.171463458,TRUE
0,VRTag_026,451.5980367,427.5058304,2.243988875,2.050609125,-24.09220625,-0.19337975,TRUE
0,VRTag_021,462.9373288,414.3231037,3.780469625,3.972105875,-48.61422504,0.19163625,TRUE
0,VRTag_035,406.3648708,485.7431433,2.600272625,3.412194792,79.3782725,0.811922167,TRUE
0,VRTag_014,346.7000254,450.6292771,3.578763875,4.184628958,103.9292517,0.605865083,TRUE
0,VRTag_042,422.24976,495.99265,3.965894042,4.553374708,73.74289,0.587480667,TRUE
0,VRTag_038,543.5299838,440.8513958,4.066609708,4.554086875,-102.6785879,0.487477167,TRUE
0,VRTag_019,497.2250708,449.7050155,4.276981458,4.985316333,-47.52005538,0.708334875,TRUE
0,VRTag_012,489.5287558,515.0109621,4.95921575,6.233561375,25.48220625,1.274345625,TRUE
0,VRTag_006,502.1043375,466.8205138,6.151950167,8.449889042,-35.28382375,2.297938875,TRUE
0,VRTag_027,502.2565792,467.6282833,2.529446917,3.146432958,-34.62829583,0.616986042,TRUE
0,VRTag_033,454.0895596,366.70679,2.7950545,3.853395375,-87.38276958,1.058340875,TRUE
0,VRTag_044,447.1470821,532.9479917,3.849122542,6.490929625,85.80090958,2.641807083,TRUE
>>>>>>> 3d3e55e2c7c3b05b88fbb285628228d9a6144a92,,,,,,,,
